id,Timestamp,SyncStatus,Latitude,Longitude,Radius,F,dF_AOCS,dF_other,F_error,B_VFM,B_NEC,dB_AOCS,dB_other,B_error,q_NEC_CRF,Att_error,Flags_F,Flags_B,Flags_q,Flags_Platform,ASM_Freq_Dev,dst,kp,qdlat,mlt
SW_OPER_MAGA_LR_1B,2014-09-30 01:00:00,0,52.3936386,149.6996956,6834187.35,42789.8443,-0.586,0.8872,0.0101,{42071.955;-1761.5069;-7588.28},{17267.3406;-2320.1784;39079.2786},{-0.336;-0.0437;0.8369},{-0.1361;0.0094;-0.1394},{0.7701;0.7694;0.771},{0.003778582;0.001676724;-0.040203241;0.999182971},1.1797,17,8,4,1,0.0,-11.0003199446,27.0,46.0801315308,3.75248241425
SW_OPER_MAGA_LR_1B,2014-09-30 01:00:20,0,53.6704522,149.779338,6833986.37,43259.1346,-0.5875,0.8867,0.009,{42677.569;-1696.9793;-6845.3206},{16689.2114;-2300.8178;39840.8021},{-0.3422;-0.0485;0.8653},{-0.1393;0.0098;-0.1369},{0.7702;0.7694;0.7712},{0.003709719;0.001655393;-0.041021872;0.999149991},1.3244,17,8,4,1,0.0,-11.0447608338,27.0,47.4323272705,3.74667167664
SW_OPER_MAGA_LR_1B,2014-09-30 01:00:40,0,54.9470655,149.8691919,6833789.96,43709.6847,-0.606,0.9289,0.0118,{43249.0608;-1622.9808;-6097.4727},{16098.1658;-2270.1162;40570.8039},{-0.317;-0.1083;0.7663},{-0.1424;0.0102;-0.1344},{0.7701;0.7694;0.7708},{0.003646279;0.001635406;-0.041934957;0.999112351},1.2421,17,8,4,1,0.0,-11.0892017231,27.0,48.7869186401,3.74002552032
SW_OPER_MAGA_LR_1B,2014-09-30 01:01:00,0,56.2234503,149.9704332,6833598.32,44140.188,-0.616,0.9547,0.0122,{43785.3648;-1540.7676;-5345.844},{15495.266;-2230.8354;41267.7875},{-0.2907;-0.1019;0.7595},{-0.1454;0.0106;-0.1318},{0.77;0.7695;0.7706},{0.003571069;0.001615016;-0.042947789;0.999069631},1.2209,17,8,4,1,0.0,-11.1336426123,27.0,50.1435928345,3.73248291016
SW_OPER_MAGA_LR_1B,2014-09-30 01:01:20,0,57.4995739,150.0844208,6833411.65,44548.363,-0.6306,0.9761,0.0073,{44284.7678;-1449.1801;-4590.1605},{14879.6654;-2181.2947;41930.2739},{-0.2484;-0.0817;0.6622},{-0.1484;0.0109;-0.129},{0.7699;0.7694;0.7704},{0.003491617;0.001594932;-0.04407196;0.999020984},1.5039,17,8,4,1,0.0,-11.1780835016,27.0,51.5020294189,3.72397327423
SW_OPER_MAGA_LR_1B,2014-09-30 01:01:40,0,58.7753985,150.2127337,6833230.13,44932.1191,-0.6404,0.9986,0.0084,{44745.4047;-1346.9737;-3831.0965},{14251.6657;-2119.1881;42556.3385},{-0.289;-0.0393;0.8219},{-0.1512;0.0112;-0.1262},{0.77;0.7694;0.7711},{0.003418863;0.00157249;-0.045325898;0.998965165},1.1282,17,8,4,1,0.0,-11.2225243909,27.0,52.8618583679,3.71442604065
SW_OPER_MAGA_LR_1B,2014-09-30 01:02:00,0,60.05088,150.3572179,6833053.95,45289.9689,-0.6412,0.995,0.0096,{45165.8177;-1239.675;-3072.4729},{13614.0129;-2050.8026;43143.723},{-0.1316;-0.2087;0.343},{-0.1539;0.0115;-0.1234},{0.7697;0.7695;0.7696},{0.003342866;0.001559265;-0.046721288;0.998901154},1.1216,17,8,4,1,0.0,-11.2669652801,27.0,54.2226905823,3.70376014709
SW_OPER_MAGA_LR_1B,2014-09-30 01:02:20,0,61.325967,150.5200451,6832883.31,45621.8677,-0.6379,1.0008,0.0087,{45546.3096;-1124.0564;-2316.5209},{12969.3214;-1974.464;43692.0391},{-0.1937;-0.0539;0.561},{-0.1565;0.0117;-0.1204},{0.7698;0.7694;0.77},{0.003243498;0.001548679;-0.048282047;0.998827275},1.3786,17,8,4,1,0.0,-11.3114061694,27.0,55.58411026,3.69189357758
SW_OPER_MAGA_LR_1B,2014-09-30 01:02:40,0,62.6005985,150.703788,6832718.37,45928.0057,-0.6449,1.0113,0.0092,{45887.6842;-1001.9976;-1562.756},{12316.928;-1891.5019;44202.2768},{-0.207;-0.0601;0.5757},{-0.159;0.012;-0.1174},{0.7698;0.7694;0.7701},{0.003130369;0.001545633;-0.050030004;0.998741614},1.3039,17,8,4,1,0.0,-11.3558470586,27.0,56.9456939697,3.67872619629
SW_OPER_MAGA_LR_1B,2014-09-30 01:03:00,0,63.874702,150.9115177,6832559.3,46208.0812,-0.6387,0.9986,0.0087,{46189.9153;-871.426;-812.8623},{11658.3776;-1797.0019;44674.1695},{-0.2033;-0.0565;0.6193},{-0.1614;0.0122;-0.1143},{0.7699;0.7694;0.7702},{0.003036433;0.00154651;-0.05198957;0.998641814},1.1542,17,8,4,1,0.0,-11.4002879479,27.0,58.3069877625,3.66415596008
SW_OPER_MAGA_LR_1B,2014-09-30 01:03:20,0,65.1481905,151.1469293,6832406.29,46460.3241,-0.6554,1.0281,0.0129,{46451.6925;-735.0992;-67.4572},{10994.1777;-1696.0366;45106.0548},{-0.2362;0.0046;0.7685},{-0.1636;0.0124;-0.1112},{0.7699;0.7694;0.7707},{0.002936996;0.001551592;-0.054189939;0.998525121},1.1104,17,8,4,1,0.0,-11.4447288372,27.0,59.6675376892,3.64806079865
SW_OPER_MAGA_LR_1B,2014-09-30 01:03:40,0,66.4209583,151.4145099,6832259.5,46683.2588,-0.6668,1.0456,0.0139,{46671.9655;-592.7172;668.984},{10327.2572;-1585.6829;45496.2041},{-0.2648;-0.0718;0.8262},{-0.1658;0.0126;-0.108},{0.77;0.7694;0.7711},{0.002857266;0.001571241;-0.056676421;0.998387275},1.5017,17,8,4,1,0.0,-11.4891697264,27.0,61.0268630981,3.63029670715
SW_OPER_MAGA_LR_1B,2014-09-30 01:04:00,0,67.6928763,151.7197607,6832119.07,46876.4641,-0.6595,1.0467,0.0184,{46850.8176;-445.8443;1395.8636},{9660.368;-1468.5019;45843.9431},{-0.3093;-0.0461;0.9961},{-0.1677;0.0127;-0.1048},{0.7702;0.7694;0.7719},{0.002787288;0.001582366;-0.059491923;0.998223641},1.2063,17,8,4,1,0.0,-11.5336106157,27.0,62.3844947815,3.61070346832
